OP_UNIQUE_CARRIER,flights,delayed,delay_rate,high_delay_alert
OO,65036,13253,0.20377944523033398,true
OH,21094,6338,0.30046458708637525,true
G4,9345,2294,0.2454788657035848,true
MQ,21890,4314,0.19707629054362721,false
AA,75088,16369,0.21799754954187087,true
NK,17544,3656,0.208390332877337,true
WN,105307,20891,0.19838187394950002,false
AS,18163,3236,0.17816440015415955,false
UA,62007,11299,0.18222136210427856,false
DL,76306,16661,0.2183445600608078,true
B6,17918,4264,0.23797298805670275,true
YX,27833,4392,0.15779829698559264,false
HA,6690,874,0.13064275037369208,false
F9,15526,3903,0.25138477392760533,true
